ort,zusatz,bundesland,plz,lat,lon
Aach,Hegau,Baden-Württemberg,78267,47.84322,8.85269
Aach,b Trier,Rheinland-Pfalz,54298,49.85309,6.5694
Aachen,,Nordrhein-Westfalen,52062,50.77356,6.10678
Aalen,Württ,Baden-Württemberg,73430,48.84798,10.09765
Aarbergen,,Hessen,65326,50.24821,8.08146
Aasbüttel,,Schleswig-Holstein,25560,54.04702,9.4811
Abbau Ader,,Sachsen-Anhalt,29416,52.79643,11.33372
Abbendorf,a d Havel,Brandenburg,19322,52.98856,11.7934
Abbenrode,b Wernigerode,Sachsen-Anhalt,38871,51.89536,10.70342
Abberode,,Sachsen-Anhalt,06543,51.63498,11.31101
Abenberg,Mittelfr,Bayern,91183,49.24156,10.9638
Abend,,Sachsen,01623,51.20212,13.27839
Abensberg,Hallertau,Bayern,93326,48.8258,11.84923
Abentheuer,,Rheinland-Pfalz,55767,49.70508,7.16398
Abraham,Kr Passau,Bayern,94036,48.57909,13.38328
Absberg,,Bayern,91720,49.14489,10.8716
Abstatt,,Baden-Württemberg,74232,49.07069,9.29292
Abtlöbnitz,,Sachsen-Anhalt,06628,51.13382,11.72678
Abtsbessingen,,Thüringen,99713,51.28627,10.73382
Abtsdorf,b Lutherstadt Wittenberg,Sachsen-Anhalt,06888,51.84618,12.63547
Abtsgmünd,,Baden-Württemberg,73453,48.91266,9.98096
Abtsteinach,,Hessen,69518,49.53659,8.78456
Abtswind,,Bayern,97355,49.75347,10.32548
Abtweiler,,Rheinland-Pfalz,55568,49.75984,7.67099
Achberg,"b Lindau, Bodensee",Baden-Württemberg,88147,47.61509,9.71398
Achen,"b Evenhausen, Oberbay",Bayern,83552,48.03278,12.30562
Achern,Baden,Baden-Württemberg,77855,48.63004,8.0347
Achim,Kr Wolfenbüttel,Niedersachsen,38312,52.06714,10.57869
Achim,b Bremen,Niedersachsen,28832,53.02301,9.07265
Achslach,,Bayern,94250,48.97734,12.90082
Achstetten,,Baden-Württemberg,88480,48.26292,9.894
Acht,,Rheinland-Pfalz,56729,50.36912,7.15165
Achtelsbach,,Rheinland-Pfalz,55767,49.70508,7.16398
Achterspannerhof,,Rheinland-Pfalz,56299,50.34914,7.39113
Achterwehr,,Schleswig-Holstein,24239,54.3008,9.9798
Achtrup,,Schleswig-Holstein,25917,54.76989,9.01126
Ackendorf,b Haldensleben,Sachsen-Anhalt,39343,52.22486,11.30453
Ackermannshof,,Brandenburg,16259,52.79807,14.01577
Adamshoffnung,,Mecklenburg-Vorpommern,17213,53.44759,12.43199
Addebüll,,Schleswig-Holstein,25842,54.68164,8.93372
Adelberg,Württ,Baden-Württemberg,73099,48.76249,9.59945
Adelebsen,,Niedersachsen,37139,51.56451,9.73636
Adelhausen,b Hildburghausen,Thüringen,98646,50.40422,10.70779
Adelheidsdorf,,Niedersachsen,29352,52.56386,10.05968
Adelmannsfelden,,Baden-Württemberg,73486,48.96972,9.96847
Adelschlag,,Bayern,85111,48.83962,11.21855
Adelsdorf,Mittelfr,Bayern,91325,49.70016,10.90224
Adelsdorf,"b Großenhain, Sachs",Sachsen,01561,51.28346,13.67654
Adelsheim,,Baden-Württemberg,74740,49.38069,9.39509
Adelshofen,Kr Fürstenfeldbruck,Bayern,82276,48.18562,11.11513
Adelshofen,Mittelfr,Bayern,91587,49.43895,10.15665
Adelsried,b Augsburg,Bayern,86477,48.42473,10.72386
Adelzhausen,,Bayern,86559,48.35708,11.13769
Adenau,,Rheinland-Pfalz,53518,50.38252,6.93157
Adenbach,,Rheinland-Pfalz,67742,49.65219,7.59042
Adenbüttel,,Niedersachsen,38528,52.38526,10.4474
Adendorf,Kr Lüneburg,Niedersachsen,21365,53.28579,10.44832
Adenstedt,"b Alfeld, Leine",Niedersachsen,31079,52.04113,9.91319
Aderstedt,b Bernburg,Sachsen-Anhalt,06408,51.80198,11.66856
Aderstedt,b Halberstadt,Sachsen-Anhalt,38838,52.0123,11.03547
Adlersteige,,Baden-Württemberg,73479,48.96717,10.17115
Adligstadt,,Bayern,83364,47.83296,12.74977
Adlkofen,"b Landshut, Isar",Bayern,84166,48.54478,12.26111
Admannshagen-Bargeshagen,,Mecklenburg-Vorpommern,18211,54.13573,11.95561
Adorf,Vogtl,Sachsen,08626,50.34531,12.24269
Aebtissinwisch,,Schleswig-Holstein,25572,53.91479,9.23964
Aerzen,,Niedersachsen,31855,52.05132,9.25226
Affalterbach,Württ,Baden-Württemberg,71563,48.92098,9.33958
Affing,,Bayern,86444,48.44631,10.97487
Affinghausen,,Niedersachsen,27257,52.79215,8.83727
Affler,,Rheinland-Pfalz,54689,50.07016,6.18582
Aftholderbach,,Rheinland-Pfalz,56355,50.20139,7.85813
Agathenburg,,Niedersachsen,21684,53.56527,9.50913
